Name,Country,Implementation Date,Start Date,End Date,Organisation Name,Donors,Implementing Partners,Point of Contact,Overview of digital health implementation,Geographical scope,Health Focus Areas,Software,Health System Challenges,Health Information System Support,Government Investor,Licenses,Repository,Mobile Application,Wiki,Interoperability Standards,National Level Deployment,First Level Coverage,Second Level Coverage,Approved
Warehousing of Legacy Films and Just in Time Sending via DICOM,Philippines,02/06/2019,02/06/2019,02/06/2019,"Medequal Systems and Supplies, Inc.",None (for-profit company),Only our company has thought of this project.,"Louie Cruz, luisito.cruz@medequal.com","The Philippines still has an ever growing film requirement driven particularly by both vendors and doctors.

In the world of Health IT, standards such as DICOM, HL7 and IHE have been duly implemented in first world countries but still to be seen to effect impact in the Philippines; although we are seeing a great push on some tenders towards Digital particularly in the private sector.

Currently, I am the Vice-Chair of HL7 and has been in the DICOM world for the past 25 years but among the 1,800++ hospitals in the Philippines only less than 20% have espoused Digital Standardization.

Health IT Education is a prime issue as there is minimal focus on this level of knowledge as seen in the budget allocation among hospitals.

Our idea is to warehouse all possible films among in different hospitals all over the country and digitize it when needed or at the point of care:

- Pre Operative Surgery
- Comparison to upcoming Diagnostic Imaging procedure
- Establishing Health Information Exchange","To warehouse majority of various diagnostic imaging films all over the country and send specific films to hospital digitally within 5 minutes for comparison via DICOM protocol.

Location of warehouse will be in major cities in the Philippines such as Manila, Cebu and Davao.",Cross Cutting,"Mirth,QuickBooks,SMS","1.2 Delayed reporting of events,6.1 Inadequate workflow management","B. Civil Registration and Vital Statistics,J. Environmental monitoring systems",no,Public domain,,,,"CPT,DICOM,GS1,HL7 v3,ICD-10,LOINC,SNOMED,XDS - Cross-Enterprise Document Sharing","Clients: 0, Health Workers: 0, Facilities: 0",,,no
Lifestyle Disease  Awareness and Prevention,India,12/10/2014,13/10/2014,,Healthwealthbridge,Other,Dr.Abhijit Misra,"Dr.Amrita Basu, dramritasfdg@gmail.com","We are a Doctor couple blogging to create awareness about health issues  through research-backed articles and social media,",A website with reach over entire India .,"Adolescent and Youth Health,Cross Cutting,Environmental Health,Humanitarian health,Infectious diseases (non-vector borne),Injury prevention and management,Maternal health,Neglected Tropical Diseases (NTDs),Newborn and Child Health,Non-communicable diseases,Nutrition and metabolic disorders","Web,WhatsApp","1.4 Communication roadblocks,1.5 Lack of access to information or data,1.6 Insufficient utilization of data and information,3.2 Insufficient health worker competence,4.1 Lack of alignment with local norms,5.2 Geographic inaccessibility,5.3 Low adherence to treatments,7.1 High cost of manual processes,8.2 Unaware of service entitlement","D. Client communication system,E. Clinical terminology and classifications,F. Community-based Information System,N. Health Management Information System,S. Learning and Training System,V. Public health and disease surveillance,W. Research information system",no,Proprietary,https://healthwealthbridge.com/,https://healthwealthbridge.com/,https://healthwealthbridge.com/,,"Clients: 0, Health Workers: 0, Facilities: 0",,,no
DSP@MTUBE - The Smart Structured Surgical BigData Cloud Platform,China,31/12/2018,31/12/2018,,LIVE2LIFE Health Tech.,Other,Digital Operating Room Integrators,"Hailiang Shi, hailiang@live2life.ltd","According to WHO Surgical Interventions account for 13% of the world’s total disability-adjusted life years (DALYs). Statistic shows that 1 of every 7 patients has complications that can lead to readmission penalties. Safety and quality are the most critical issues! 
Healthcare transits into data-driven. Modern MIS (Minimum Invasive Surgery) and intervention therapy generate huge amount of data, however these are mostly unstructured in-actionable data. 
DSP@MTUBE is the industry first, vendor neutral, open cloud platform to document, index, analyze and exchange all surgical procedure related data, which is either captured, assigned or contributed, in a medically structured way. The platform leverages the emerging technologies such as AI and Blockchain, to address some key issues such as efficiency, accuracy and integrity along the “data for value” process. 
The ultimate goal of this digital approach is to improve the safety, quality, efficiency and economy of critical health deliveries.",China and Germany,"Cross Cutting,Non-communicable diseases",Other,"1.3 Lack of quality/reliable data,1.4 Communication roadblocks,1.5 Lack of access to information or data,1.6 Insufficient utilization of data and information,1.7 Lack of unique identifiers,2.4 Insufficient supply of qualified health workers,3.1 Poor patient experience,3.2 Insufficient health worker competence,3.6 Inadequate supportive supervision,3.7 Poor adherence to guidelines,6.1 Inadequate workflow management,6.3 Poor planning and coordination,7.1 High cost of manual processes,8.1 Insufficient patient engagement,8.4 Lack of transparency in commodity transactions","C. Client applications,D. Client communication system,E. Clinical terminology and classifications,F. Community-based Information System,J. Environmental monitoring systems,L. Geographic Information Systems,M. Health finance and insurance system,N. Health Management Information System,Q. Knowledge Management,R. Laboratory and Diagnostic System,X. SHR and health information repositories",no,Proprietary,,,,"DICOM,HL7 FHIR,HL7 v3","Clients: 30, Health Workers: 80, Facilities: 20",,,no
Ethiopia Health Data Analytics Platform (EHDAP),Ethiopia,01/04/2016,01/01/2016,,Zenysis Technologies,Bill and Melinda Gates Foundation (BMGF),Federal Ministry of Health,"Dawit Kassa, dawit@zenysis.com","The Zenysis software integrates data from fragmented systems through an interoperability layer that uses data science techniques to harmonize the differences between integrated systems without requiring any modification to the systems themselves. 

In Ethiopia, the Zenysis platform successfully integrated data from more than 15 fragmented systems for the first time. This includes data from three routine health information systems as well as surveillance data, surveys, supply chain data, financial data,
climatological data and more.

More than 600 million data points from these systems are now accessible for analysis through a single, easy-to-use platform. The platform has enabled a significant shift from low-resolution (regional-level) analytics to high-resolution (facility-level) analysis and
decision-making. Decision-makers can now access continuously updated performance statistics for all 860+ districts on-demand.",EHDAP is primarily implemented and used at the central level in Ethiopia by Federal Ministry of Health (FMOH) users. Some additional training of users at the regional level has taken place.,,Other,"1.1 Lack of population denominator,1.2 Delayed reporting of events,1.3 Lack of quality/reliable data,1.5 Lack of access to information or data,1.6 Insufficient utilization of data and information,1.7 Lack of unique identifiers,2.2 Insufficient supply of services,3.7 Poor adherence to guidelines,5.3 Low adherence to treatments,6.3 Poor planning and coordination,7.1 High cost of manual processes,7.2 Lack of effective resource allocation,8.5  Poor accountability between the levels of the health sector,8.6 Inadequate understanding of beneficiary populations","A. Census, population information & data warehouse,B. Civil Registration and Vital Statistics,C. Client applications,E. Clinical terminology and classifications,F. Community-based Information System,I. Emergency response system,R. Laboratory and Diagnostic System,W. Research information system,X. SHR and health information repositories",yes,Proprietary,,,,"HL7 FHIR,HL7 v2,HL7 v3,JSON","Clients: 1, Health Workers: 103, Facilities: 0",,,no
Liberia Health Analytics Platform (LHAP),Liberia,01/01/2018,01/01/2018,,Zenysis Technologies,Other,Liberian Ministry of Health and Family Health Division,"Claire Cravero, claire@zenysis.com","The Zenysis software integrates data from fragmented systems through a generalized interoperability layer that uses data science techniques to harmonize the differences between integrated systems without requiring any modification to the systems themselves.

In 2018, Liberia’s National Public Health Institute (NPHIL) and the Ministry of Health (MOH) partnered with Zenysis to improve infectious disease surveillance, data quality, supervision and capacity for data-driven decision-making. In Liberia, Zenysis integrates more than five fragmented data sources for the first time, including lab data, weekly disease surveillance data and routine health information system data from DHIS 2.

This partnership with Zenysis allowed the MOH and NPHIL generate analyses that they used to influence health sector policy planning, resource allocation and intervention design. The rapid integration of data systems helped Liberia target activities to strengthen health systems to improve public health outcomes.",The Liberia Health Analytics Platform (LHAP) is currently used by decision-makers in multiple divisions at the central level of the Liberia Ministry of Health.,,Other,"1.2 Delayed reporting of events,1.3 Lack of quality/reliable data,1.4 Communication roadblocks,1.5 Lack of access to information or data,1.6 Insufficient utilization of data and information","B. Civil Registration and Vital Statistics,C. Client applications,D. Client communication system,E. Clinical terminology and classifications,F. Community-based Information System",yes,Proprietary,,,,"HL7 FHIR,HL7 v2,HL7 v3,JSON","Clients: 25, Health Workers: 0, Facilities: 0",,,no
"eCompliance Suite for Tuberculosis prevention, control and treatment in BoP markets",India,11/08/2010,09/07/2012,,Sandeep Ahuja,"Department for International Development (DFID),FICCI,Grand Challenges Canada,The Global Fund,USAID India","National TB Control Program, Local Country Government","Sandeep Ahuja, sandeep.ahuja@opasha.org","eCompliance suite is our comprehensive Technology solution available on Tablets for tuberculosis. It consists of an entire suite of products which fulfils the full spectrum of needs for a successful Tb program. It is meant to provide technology solutions for 3 vital areas, ie timely detection of TB patients, prompt enrolment of those diagnosed, and ensuring adherence by using biometric identification ie fingerprinting. These are as follows:-

 
1.	eDetection - Detection of Patients (Contact Tracing and Active Case Finding)
2.	Lab Alert - Lab Alert System
3.	eCompliance - for Adherence","Operation ASHA has developed a highly effective, local, deep, low cost, last mile delivery system that is scalable and replicable worldwide. It serves 15.6 million people, living in over 5000 slums, villages and tribal areas across India and Cambodia with its own staff. Its model has also been replicated by third parties in India and seven other countries: Afghanistan, Tanzania, Peru, Uganda, Kenya, Dominican Republic, Cambodia & Zambia.","Adolescent and Youth Health,Infectious diseases (non-vector borne)","Native Android,SMS,Web","1.2 Delayed reporting of events,1.6 Insufficient utilization of data and information,2.4 Insufficient supply of qualified health workers,3.5 Insufficient continuity of care,5.2 Geographic inaccessibility,5.4 Loss to follow-up","B. Civil Registration and Vital Statistics,F. Community-based Information System,G. Data interchange interoperability and accessibility,L. Geographic Information Systems,P. Identification registries and directories,V. Public health and disease surveillance",yes,Protective free and open source software,,http://ecompliancesuiteindia.com,https://en.wikipedia.org/wiki/Operation_ASHA,"BPPC - Basic Patient Privacy Consents,JSON,mACM - Mobile Alert Communication Management","Clients: 2499, Health Workers: 101, Facilities: 193",,,no
Safe Abortion App,Kenya,11/02/2019,01/01/2018,,Hesperian Health Guides,Other,Ipas and numerous national NGOs,"Sarah Shannon, Executive Director, SJHOLCOMBE@gmail.COM","This app provides comprehensive information on safe abortion that can be used alone or shared by women, healthcare workers and women’s health advocates. Once downloaded, the app operates offline, without a data plan or internet access.

By meeting women’s needs for reliable, understandable and actionable information, this app can help prevent the harm caused by unsafe abortion and restrictions on women’s access to reproductive health. 

The app provides a pregnancy calculator; a comparison of methods; explicit instructions and a description of what to expect; information on danger signs; and an extensive set of FAQ.","Use began first in Latin America (Mexico, Honduras, Nicaragua, Ecuador, Peru, Colombia, Guatemala, El Salvador, and Costa Rica); and West Africa (Nigeria, Liberia).  It is now downloadable globally without cost from the Apple App Store and from Google Play; is currently available in English, French, and Spanish; and is being adapted in other languages. Please contact us if you are interested in piloting and adapting with women and/or health workers in your country setting.","Adolescent and Youth Health,Humanitarian health,Sexual and reproductive health",Other,"1.5 Lack of access to information or data,3.2 Insufficient health worker competence,6.4 Delayed provision of care,8.1 Insufficient patient engagement,8.5  Poor accountability between the levels of the health sector,8.6 Inadequate understanding of beneficiary populations","E. Clinical terminology and classifications,N. Health Management Information System",no,Proprietary,,https://hesperian.org/books-and-resources/safe-abortion-sa/,,,"Clients: 2500, Health Workers: 100, Facilities: 0",,,no
Sistema Informático Perinatal (SIP),Dominican Republic,31/12/1999,31/12/1982,,Ministerio de Salud Pública,World Health Organization (WHO),"CLAP/SMR,OPS","Ing. Aneudy Patiño, aneudy@gmail.com","En 1983, el CLAP/SMR publicó el Sistema Informático Perinatal (SIP). El SIP es un producto de consenso técnico entre cientos de profesionales de la Región convocados periódicamente por el CLAP/SMR para su revisión y forma parte de las herramientas (tool kit) de la OPS para mejoría de la calidad de la atención de madres y recién nacidos.

En más de 35 años de su desarrollo recoge las lecciones aprendidas en su implementación en todos los niveles de atención de la mujer embarazada y el recién nacido en la mayoría de los países de América Latina y el Caribe.  Los datos de cada mujer embarazada y de su hijo, se recogen desde la primera visita antenatal, acumulando la información de los eventos sucesivos hasta el alta de ambos luego del parto. Dicha información es procesada para monitorear diferentes aspectos de salud: calidad de atención, oportunidad, adherencia a protocolos de salud, vigilancia epidemiológica, entre otros.","El SIP está constituido por un grupo de instrumentos originalmente diseñados para uso en los servicios de gineco/obstetricia, neonatología y Salud Integral del Adolescente. Estos instrumentos son la Historia Clínica Perinatal (HCP), el carné perinatal, el formulario de aborto, el formulario de consulta de adolescentes, el partograma, hospitalización neonatal, enfermería neonatal y los programas de captura y procesamiento local de datos.","Adolescent and Youth Health,Maternal health,Newborn and Child Health",Web,"1.6 Insufficient utilization of data and information,2.3 Insufficient supply of equipment,3.4 Low health worker motivation,3.7 Poor adherence to guidelines","F. Community-based Information System,K. Facility Management Information System,R. Laboratory and Diagnostic System",yes,"Freemium,Public domain",http://www.clap.ops-oms.org/sistemas/,http://www.clap.ops-oms.org/sistemas/,https://www.paho.org/clap/index.php?option=com_content&view=article&id=84:sistema-informatico-perinatal&Itemid=242&lang=en,"HL7 v2,JSON","Clients: 2, Health Workers: 100, Facilities: 21",,,no
Cardio.AI,Latvia,11/02/2019,09/06/2016,,SIA XOresearch,Funding under consideration,No partners,"Yuliana Nemysskaya, yn@xoresearch.com","Cardio.AI - AI-powered platform for high accuracy automatic annotation and interpretation of electrocardiograms, long and short ECG/EKG records and detect more than 100 beat and rhythm abnormalities, annotate according to the HL7® aECG standard. The manual process of routine ECG interpretation is very expensive, time-consuming and needs high qualification. It doesn’t allow to serve more patients remotely and in clinics.

The technology is built around deep learning with generative networks as building blocks and some high-performance analytical backend on top of the network's output. The evaluation and the report generation takes place within a few seconds.",Solutions can use the provided API so it is available for all countries.,Non-communicable diseases,"Community Health Toolkit,Custom App for Windows","2.4 Insufficient supply of qualified health workers,3.2 Insufficient health worker competence,7.1 High cost of manual processes","L. Geographic Information Systems,N. Health Management Information System",no,Public domain,https://spec.api.cardio.ai/#/v1.0/annotations,https://spec.api.cardio.ai/#/v1.0/annotations,,HL7 v3,"Clients: 3, Health Workers: 11, Facilities: 1",,,no
Digital Tools for CHWs with Integrate Health and Medic Mobile,Togo,15/10/2017,31/01/2017,,Integrate Health,Other,Integrate Health,"Fatou Fall, fatou@medicmobile.org","Integrate Health (IH) and Medic Mobile co-designed a mobile application to support CHWs to deliver equitable and quality doorstep care. Building on IH's model that aim to save lives in neglected communities the application supports 27 CHWs in decision making (referral, diagnosis, treatment), targeted follow ups for closed loop care, and offline data collection. The technology links care provided at doorstep and health facility levels through a unique patient ID system, tracks longitudinally care provided, enhances data transmission and analysis for evidence based decision making. At the facility level, the health workers are supported to log services provided to the patients for ease of follow up at CHW level. The technology will evolve to be fit the model iterations. Data will be used to inform iterations at functionality, workflow and features levels to support fit-for-purpose.",Kara and Adabawere,"Infectious diseases (non-vector borne),Maternal health,Newborn and Child Health,Nutrition and metabolic disorders,Sexual and reproductive health,Vector-borne diseases (not listed under Neglected Tropical Diseases (NTDs)",Community Health Toolkit,"1.3 Lack of quality/reliable data,2.2 Insufficient supply of services","C. Client applications,I. Emergency response system",yes,Protective free and open source software,https://github.com/medic,,,"JSON,XForms",,"District: 3338038 [Clients: 0, Health Workers: 27, Facilities: 3]",,no
Family Planning Digital Health System for Community Health Workers - Shinyanga Region,United Republic of Tanzania,01/01/2014,01/01/2014,31/12/2019,D-tree International,"Bergstrom Foundation,Packard Foundation,USAID",Pathfinder International,"Gloria Kahamba, gkahamba@d-tree.org","Community-based family planning program which support CHWs providing FP services in the community, following the Balanced Counseling Strategy Plus and Tanzania guidelines. Comprehensive dashboards, including government reports, discontinuation tracking and other indicators are available. CHW supervisors have a mobile app which allows them to send messages to CHWs about outreach events and method stock levels.",Shinyanga Region,Sexual and reproductive health,Mangologic,"1.6 Insufficient utilization of data and information,2.1 Insufficient supply of commodities,2.2 Insufficient supply of services,3.4 Low health worker motivation,3.5 Insufficient continuity of care,3.6 Inadequate supportive supervision,3.7 Poor adherence to guidelines,5.1 Low demand for services,6.1 Inadequate workflow management,6.2 Lack of or inappropriate referrals,6.3 Poor planning and coordination,7.1 High cost of manual processes","F. Community-based Information System,H. Electronic Medical Record,I. Emergency response system,J. Environmental monitoring systems,P. Identification registries and directories,Q. Knowledge Management,R. Laboratory and Diagnostic System,U. Pharmacy Information System,Y. Telemedicine",no,Proprietary,,,,JSON,,"District: Shinyanga [Clients: 31000, Health Workers: 250, Facilities: 0]",,no
e-SUS Atenção Básica,Brazil,09/07/2013,30/06/2013,,Ministério da Saúde,Other,Laboratório Bridge_ / UFSC,"Departamento de Atenção Básica, esusab@saude.gov.br","A estratégia e-SUS Atenção Básica (e-SUS AB) foi criada pelo Departamento de Atenção Básica do Ministério da Saúde (MS) com intuito de qualificar o registro da informação por meio de software de prontuário eletrônico (PEC - Prontuário Eletrônico do Cidadão). Nessa perspectiva, foram incluídos na Estratégia e-SUS AB aplicativos móveis para registro das ações realizadas pelos profissionais de saúde em locais de difícil manejo de computadores ou notebooks.","O público alvo a ser atingido com esta iniciativa são gestores da saúde nas três esferas de governo (municipal, estadual e federal) e profissionais de saúde dos serviços de Atenção Básica em todo o território nacional.","Adolescent and Youth Health,Civil registration and vital statistics,Cross Cutting,Humanitarian health,Infectious diseases (non-vector borne),Injury prevention and management,Maternal health,Neglected Tropical Diseases (NTDs),Newborn and Child Health,Non-communicable diseases,Nutrition and metabolic disorders,Other chronic conditions and disabilities,Sexual and reproductive health,Vector-borne diseases (not listed under Neglected Tropical Diseases (NTDs),Violence,Water Sanitation and Hygiene (WASH),Wellness and Mental Health",Custom App for Windows,"1.4 Communication roadblocks,2.3 Insufficient supply of equipment,2.4 Insufficient supply of qualified health workers,5.2 Geographic inaccessibility","D. Client communication system,K. Facility Management Information System,L. Geographic Information Systems,V. Public health and disease surveillance",yes,Proprietary,http://dab.saude.gov.br/portaldab/esus.php,http://dab.saude.gov.br/portaldab/esus.php,http://dab.saude.gov.br/portaldab/esus.php,"BPPC - Basic Patient Privacy Consents,CDA - Clinical Document Architecture,HL7 v3,ICD-10,ISO 3166,PDQ or PDQm - (Mobile) Patient Demographics Query,SNOMED,SVS - Sharing Value Sets","Clients: 0, Health Workers: 500000, Facilities: 43000",,,no
Millennials' Growth,Spain,18/02/2018,21/05/2017,18/02/2018,"Hospital Universitario Vall d'Hebron, Barcelona, Spain. Dep. of Pediatrics.",None (non-profit organization),"Institut de Recerca Vall d'Hebron, Barcelona, Spain,Hospital Vall d´'Hebron, Barcelona, Spain,Universitat Autònoma de Barcelona (UAB), Spain,CIBER Enfermedades raras (CIBERER), Spain,Instituto de Salud Carlos III, Spain","Diego Yeste, dyeste@vhebron.net","To evaluate each child growth according to her/his individual onset of pubertal growth spurt, and according to normal non-clinically obese population standards, before any interpretation of their health status (growth disorder and obesity or malnutrition risk) is made. An open access Website, and Apps (iOS, Android), for parents and health professionals, are fully available in English, Spanish and Catalan, as well as a PC-program (performing auxological calculations) only for health professionals, since February 2018.",Spain and abroad,Newborn and Child Health,Custom App for Windows,1.6 Insufficient utilization of data and information,F. Community-based Information System,yes,Non protective free and open source software (e.g. Apache),,http://www.millennialsgrowth.com/,,,"Clients: 300, Health Workers: 300, Facilities: 50",,,no
Empower Health,Kenya,01/02/2018,01/02/2018,,Medtronic Labs,None (for-profit company),Local facilities,"Molly Guy, molly.guy@medtronic.com","The goal of Empower Health is to improve disease awareness, reduce the burden of disease, and improve the efficiency of managing hypertension and diabetes for both patients and clinicians. The Empower Health model consists of a mobile tablet, an automated blood pressure (BP) machine, a glucometer, and a novel proprietary software application—combined in a unique platform for efficient screening and longitudinal management of a patient cohort. Leveraging the model, physicians provide patients with a tailored hypertension and/or diabetes management plan. Patients can access regular BP and blood glucose checks at community-partner locations where they receive real-time feedback on their measurement. On the mobile application, clinicians can view patient data, provide direct patient feedback on their condition via SMS, and write electronic prescriptions—accessible through participating pharmacies.",Empower Health is a novel social business initiative in West and East Africa that brings together partners and innovative technology to create a unique end-to-end model of care for hypertension and diabetes screening and management focused on reaching underserved patients.,Non-communicable diseases,Other,"1.5 Lack of access to information or data,2.4 Insufficient supply of qualified health workers,3.1 Poor patient experience,3.5 Insufficient continuity of care,5.2 Geographic inaccessibility,5.3 Low adherence to treatments,5.4 Loss to follow-up,6.5 Inadequate access to transportation,8.1 Insufficient patient engagement","E. Clinical terminology and classifications,G. Data interchange interoperability and accessibility,L. Geographic Information Systems,M. Health finance and insurance system,P. Identification registries and directories,V. Public health and disease surveillance,W. Research information system",no,Proprietary,,,,,"Clients: 1250, Health Workers: 100, Facilities: 10",,,no
E-Heza Digital Health Record,Rwanda,15/10/2018,01/01/2018,,The Ihangane Project,Johnson & Johnson,"Rwanda Ministry of Health,The Global Fund to Fight AIDS, TB,& Malaria","Wendy Leonard, MD, AAHIVS, wendy@theihanganeproject.com","Alongside front-line health care workers and the Rwanda Ministry of Health, The Ihangane Project is creating Rwanda’s first point-of-care digital health record. This digital health record, called E-Heza, will dramatically improve maternal and child health outcomes by giving nurses the tools they need to adopt evidence-based clinical care protocols, provide high quality care and utilize real-time data trends to both tailor health education to individual family needs and to improve the health care delivery system while simultaneously satisfying Rwanda Ministry of Health data reporting requirements. E-Heza is designed for replication throughout Sub Saharan Africa.",Gakenke District in the Northern Province of Rwanda,"Maternal health,Newborn and Child Health",Other,"1.2 Delayed reporting of events,1.3 Lack of quality/reliable data,1.4 Communication roadblocks,1.5 Lack of access to information or data,1.6 Insufficient utilization of data and information,3.1 Poor patient experience,3.2 Insufficient health worker competence,3.4 Low health worker motivation,3.5 Insufficient continuity of care,3.6 Inadequate supportive supervision,3.7 Poor adherence to guidelines,4.1 Lack of alignment with local norms,4.2 Not addressing individual beliefs and practices,5.2 Geographic inaccessibility,5.4 Loss to follow-up,6.1 Inadequate workflow management,6.4 Delayed provision of care,6.5 Inadequate access to transportation,7.1 High cost of manual processes,8.1 Insufficient patient engagement,8.3 Absence of community feedback mechanism,8.5  Poor accountability between the levels of the health sector,8.6 Inadequate understanding of beneficiary populations","B. Civil Registration and Vital Statistics,C. Client applications,D. Client communication system,E. Clinical terminology and classifications,F. Community-based Information System,G. Data interchange interoperability and accessibility,J. Environmental monitoring systems,M. Health finance and insurance system,N. Health Management Information System,P. Identification registries and directories,Q. Knowledge Management,R. Laboratory and Diagnostic System,S. Learning and Training System,T. Logistics Management Information System,V. Public health and disease surveillance",yes,Protective free and open source software,,https://youtu.be/xhjIc9NGGL4,,,"Clients: 5000, Health Workers: 30, Facilities: 9",,,no
Certification / CertiLife by Medappcare,France,31/05/2014,30/07/2012,,Medappcare,Other,"BPI France,CNAV,AGIRC-ARRCO,AG2R La Mondiale,Groupe B2V,CCAH,Fondation de France,Région Ile de France,Ville de Paris,Paris Santé Cochin","SAINATI David, d.sainati@medappcare.com","Medappcare is the certification body for mobile health apps and websites. Medappcare assess and certify (with ""CertiLife"" mark) these services regarding to criterias around data privacy, cyber security, ergonomics, and quality of the content. Medappcare is officially accredited by the COFRAC for this certification activity.",France and Europe,,Other,"1.3 Lack of quality/reliable data,1.5 Lack of access to information or data,3.1 Poor patient experience,3.2 Insufficient health worker competence,3.3 Low quality of health commodities,3.5 Insufficient continuity of care,3.7 Poor adherence to guidelines,4.1 Lack of alignment with local norms","C. Client applications,E. Clinical terminology and classifications,M. Health finance and insurance system,N. Health Management Information System,O. Human Resource Information System,P. Identification registries and directories,R. Laboratory and Diagnostic System,S. Learning and Training System",no,"Proprietary,Public domain",http://medappcare.com,,,,"Clients: 70, Health Workers: 0, Facilities: 0",,,no
Tuberculosis Management among Migrants - TB Reach,Thailand,18/02/2019,01/08/2018,31/12/2019,D-tree International,Other,American Refugee Committee,"Rebecca Litner, rlitner@d-tree.org","Tuberculosis case management solution for migrants on the Thai-Myanmar borders using a mobile application and Near Field Communication technology. Supervisors and community volunteers register patients, conduct home visits and evaluate patient adherence to medications and facility visit milestones using a mobile application. The patient's medical record is stored on the Near Field Communication device, and the patient carries the device with him/her to every visit with a health volunteer, which ensures data is available for management even in low connectivity settings. On device supervisory activities and patient/volunteer incentives are available in the system, as well as comprehensive dashboards for program monitoring and reporting.",Kanchanaburi and Tak Provinces,"Humanitarian health,Infectious diseases (non-vector borne)",Mangologic,"1.3 Lack of quality/reliable data,1.4 Communication roadblocks,1.5 Lack of access to information or data,1.6 Insufficient utilization of data and information,2.2 Insufficient supply of services,3.4 Low health worker motivation,3.5 Insufficient continuity of care,3.6 Inadequate supportive supervision,3.7 Poor adherence to guidelines,5.1 Low demand for services,5.2 Geographic inaccessibility,5.3 Low adherence to treatments,5.4 Loss to follow-up","C. Client applications,D. Client communication system,E. Clinical terminology and classifications,F. Community-based Information System,G. Data interchange interoperability and accessibility,I. Emergency response system,P. Identification registries and directories,Q. Knowledge Management,R. Laboratory and Diagnostic System,U. Pharmacy Information System,V. Public health and disease surveillance,W. Research information system",no,Proprietary,,,,JSON,"Clients: 31, Health Workers: 71, Facilities: 0",,,no
Rheumatic Heart Disease and Hypertension Tracking,United Republic of Tanzania,01/03/2019,01/03/2019,,D-tree International,Other,Touch Foundation,"Stefanie Kot, skot@d-tree.org","The hypertension tracking system has three key project objectives: 1) improve the health status of the existing facility-based health workforce as well as quality of patient care for hypertensive disorders through education and health promotion programs; 2) improve access to services for hypertensive disorders (including preeclampsia) across the continuum of care for pregnant and postpartum women as well as other patient populations; and 3) measure the cost effectiveness and health impact of a health workforce approach to hypertension prevention, management, and control. One track of the program focuses on providing services to HCWs.  They will be screened at HCW fairs and enrolled into peer-to-peer support groups. The second track of program focuses on pregnant women. They will be screened during ANC and PNC visits in 21 Healthcare Facilities. There are plans to integrate Rheumatic Heart Disease tracking in the system in the future.",Shinyanga and Mwanza,Non-communicable diseases,Mangologic,"1.3 Lack of quality/reliable data,1.5 Lack of access to information or data,1.6 Insufficient utilization of data and information,3.7 Poor adherence to guidelines,6.1 Inadequate workflow management,6.2 Lack of or inappropriate referrals","C. Client applications,E. Clinical terminology and classifications,F. Community-based Information System,J. Environmental monitoring systems,R. Laboratory and Diagnostic System,Y. Telemedicine",no,Proprietary,,,,JSON,"Clients: 200, Health Workers: 16, Facilities: 0",,,no
Surveda,United States,01/07/2017,01/04/2015,,Bloomberg Philanthropies,CDC Foundation,"Centers for Disease Control,CDC Foundation,RTI International,Innovative Support To Emergencies Diseases and Disasters,Ministries of Health in country","Rachael Phadnis, oto4@cdc.gov","Noncommunicable diseases (NCDs), including heart disease, stroke, cancer, and diabetes, are the leading causes of death claiming 68% of all deaths worldwide. The magnitude of these diseases continues to rise, particularly in low- and middle income countries. With increasing access and use of mobile phones globally, opportunities exist to explore the feasibility of using mobile phone technology as an interim method to collect NCD data. Such technologies have the potential to allow for efficiencies in producing timely and accurate data to monitor trends with new, faster mobile phone surveys. Data collection was performed using Surveda, an open-source, multi-modal phone survey web application. It is a flexible platform that can deploy mixed modal surveys, perform comparisons of questionnaires and mode sequences, uphold the highest data privacy standards, simplify the user experience, enable local and cloud hosting capacities, and contribute to the open-source community.","Ecuador, India (Mumbai), Malawi, Morocco, Sri Lanka, Philippines, Zambia",Non-communicable diseases,Other,"1.3 Lack of quality/reliable data,1.5 Lack of access to information or data,1.6 Insufficient utilization of data and information","C. Client applications,E. Clinical terminology and classifications,F. Community-based Information System",yes,Protective free and open source software,https://github.com/instedd/surveda,https://www.youtube.com/playlist?list=PLuF6Zv4jjnGjWsDEz-oonkcebR2cJIyX5,https://mobilesurveys.freshdesk.com/support/home,JSON,"Clients: 112, Health Workers: 0, Facilities: 7",,,no
